MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.4269546436,0.5,0.5742827869,0.3184898354,0.2890625,0.3638613861,0.4489728297,0.4207577375,0.611980537,imaging,evo
0.4076025918,0.5833333333,0.5614754098,0.3155856728,0.2180397727,0.3366336634,0.4241219351,0.4178228388,0.600933719,imaging,evo
0.4160691145,0.6666666667,0.5758196721,0.3213939981,0.2542613636,0.3935643564,0.4115308151,0.4250266809,0.617964229,imaging,evo
0.4072570194,0.5833333333,0.5758196721,0.3204259439,0.2308238636,0.3514851485,0.4261100066,0.3999466382,0.604550237,imaging,evo
0.3968034557,0.5,0.5635245902,0.2884801549,0.2294034091,0.3613861386,0.4098740888,0.3956776948,0.608692793,imaging,evo
0.435161987,0.75,0.5742827869,0.334946757,0.3046875,0.3787128713,0.4483101392,0.4338313767,0.618227249,imaging,evo
0.4126133909,0.5833333333,0.5507172131,0.298160697,0.2563920455,0.3589108911,0.4221338635,0.4284951974,0.588900579,imaging,evo
0.4089848812,0.5,0.575307377,0.316553727,0.2563920455,0.3589108911,0.4234592445,0.3986125934,0.604747501,imaging,evo
0.4524406048,0.5833333333,0.6009221311,0.3572120039,0.2919034091,0.396039604,0.4748177601,0.4493062967,0.634665965,imaging,evo
0.4169330454,0.5833333333,0.5855532787,0.3359148112,0.2080965909,0.3688118812,0.4453280318,0.4116862327,0.626841136,imaging,evo
0.2714876666,0.8,0.3430898447,0.1274074074,0.2469879518,0.1600928074,0.2946277496,0.1875,0.379223865,lang,evo
0.3048873908,0.85,0.3698142021,0.1555555556,0.3473895582,0.1716937355,0.3255076142,0.213125,0.439215945,lang,evo
0.3399724222,0.8,0.4008653601,0.1911111111,0.3855421687,0.2273781903,0.3570219966,0.261875,0.484820486,lang,evo
0.2883407385,0.45,0.3591244591,0.1503703704,0.2590361446,0.1948955916,0.3164128596,0.189375,0.427138332,lang,evo
0.3214340432,0.75,0.387884958,0.1503703704,0.2841365462,0.2018561485,0.3441201354,0.285625,0.454725449,lang,evo
0.3011337521,0.45,0.3512344108,0.18,0.3514056225,0.2088167053,0.3094331641,0.2475,0.444957761,lang,evo
0.3346866861,0.75,0.395265971,0.1651851852,0.313253012,0.2064965197,0.3601945854,0.29625,0.455385428,lang,evo
0.317986824,0.35,0.3779587681,0.1607407407,0.2921686747,0.1972157773,0.3449661591,0.271875,0.440535903,lang,evo
0.3686992493,0.5,0.4372613897,0.1651851852,0.4196787149,0.2204176334,0.3864213198,0.32625,0.502045935,lang,evo
0.3272560135,0.8,0.3929753118,0.1451851852,0.2831325301,0.211136891,0.3502538071,0.304375,0.430570222,lang,evo
