MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.7208549223,0.6857142857,0.8645833333,0.4236453202,0.2,0.7735849057,0.713190184,0.88260497,statistics,evo
0.746761658,0.7142857143,0.9036458333,0.5073891626,0.6,0.8264150943,0.6993865031,0.952870608,statistics,evo
0.7156735751,0.6857142857,0.8932291667,0.4630541872,0.6,0.8188679245,0.6503067485,0.952870608,statistics,evo
0.7428756477,0.6857142857,0.8984375,0.4581280788,0.6,0.8188679245,0.713190184,0.969151671,statistics,evo
0.7137305699,0.6857142857,0.8802083333,0.4876847291,0.6,0.7811320755,0.6610429448,0.968294773,statistics,evo
0.6832901554,0.6571428571,0.8411458333,0.4482758621,0.4,0.7132075472,0.6549079755,0.917737789,statistics,evo
0.7441709845,0.6285714286,0.8984375,0.5073891626,0.6,0.8037735849,0.7101226994,0.962296487,statistics,evo
0.7215025907,0.6285714286,0.8802083333,0.4630541872,0.6,0.8037735849,0.6809815951,0.945158526,statistics,evo
0.7292746114,0.6571428571,0.9010416667,0.4778325123,0.4,0.7660377358,0.6978527607,0.879177378,statistics,evo
0.7176165803,0.6285714286,0.8828125,0.4581280788,0.6,0.7886792453,0.6779141104,0.948586118,statistics,evo
