MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.7726683938,0.8285714286,0.8984375,0.3645320197,0.8,0.8905660377,0.7745398773,0.934018852,statistics,randoop
0.7415803109,0.8285714286,0.8697916667,0.3004926108,0.8,0.879245283,0.7423312883,0.919451585,statistics,randoop
0.7933937824,0.8857142857,0.8984375,0.3842364532,0.4,0.8867924528,0.8190184049,0.938303342,statistics,randoop
0.4954663212,0.5428571429,0.6927083333,0.2068965517,0.6,0.6679245283,0.3957055215,0.737789203,statistics,randoop
0.795984456,0.8857142857,0.8697916667,0.3448275862,0.8,0.8905660377,0.8496932515,0.908311911,statistics,randoop
0.6593264249,0.7142857143,0.78125,0.2315270936,0.6,0.8301886792,0.6487730061,0.863753213,statistics,randoop
0.8186528497,0.8857142857,0.9010416667,0.3990147783,0.8,0.9169811321,0.8573619632,0.946015424,statistics,randoop
0.7260362694,0.8571428571,0.8489583333,0.3399014778,0.6,0.8339622642,0.7239263804,0.903170523,statistics,randoop
0.7862694301,0.8571428571,0.9088541667,0.3054187192,0.8,0.9169811321,0.8067484663,0.949443016,statistics,randoop
0.8180051813,0.8571428571,0.90625,0.3201970443,0.8,0.9283018868,0.8742331288,0.950299914,statistics,randoop
