Project,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator
BCEL,0,0.213688867,0.06623249,0.334848857,0.022855739,0.311010076,0.051363971
CLI,0,0.296,0.046666667,0.156,0.010666667,0.454666667,0.036
Codec,0,0.222619048,0.067559524,0.091369048,0.047321429,0.290178571,0.280952381
CSV,0,0.286415712,0.049099836,0.101472995,0.019639935,0.461538462,0.081833061
Email,0,0.328743546,0.036144578,0.201376936,0.008605852,0.401032702,0.024096386
FileUpload,0,0.287581699,0.060457516,0.135620915,0.035947712,0.364379085,0.116013072
Imaging,0.001036717,0.168639309,0.08924406,0.121641469,0.034902808,0.260734341,0.323801296
Lang,0.001532097,0.300980542,0.103416577,0.076298453,0.0330167,0.362187835,0.122567795
Statistics,0.022668394,0.248704663,0.131476684,0,0.003238342,0.171632124,0.422279793
Validator,0,0.362911266,0.11665005,0.053838485,0.016949153,0.406281157,0.04336989
