"MutationCoverage","ReturnValsMutator","ConditionalsBoundaryMutator","VoidMethodCallMutator","IncrementsMutator","NegateConditionalsMutator","MathMutator","LineCoverage","Project","Tool","TestSuite","InvertNegsMutator"
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.3430818383,0.5342150661,0.3821892393,0.2425688073,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.3430818383,0.5342150661,0.3821892393,0.2425688073,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.342958958,0.5342150661,0.3821892393,0.2422018349,0.2903225806,0.3212169103,0.3086124402,0.549213366,"bcel","evo",1,
0.3352174982,0.4836112708,0.4063079777,0.2194495413,0.3279569892,0.3461082576,0.3181818182,0.570406969,"bcel","evo",2,
0.3349717375,0.4836112708,0.4063079777,0.2190825688,0.3279569892,0.3457131569,0.3181818182,0.570406969,"bcel","evo",2,
0.3350946178,0.4836112708,0.4063079777,0.2194495413,0.3279569892,0.3457131569,0.3181818182,0.570406969,"bcel","evo",2,
0.3353403785,0.4836112708,0.4063079777,0.2198165138,0.3279569892,0.3461082576,0.3181818182,0.570406969,"bcel","evo",2,
0.3350946178,0.4836112708,0.4063079777,0.2194495413,0.3279569892,0.3457131569,0.3181818182,0.570406969,"bcel","evo",2,
0.3353403785,0.4836112708,0.4063079777,0.2198165138,0.3279569892,0.3461082576,0.3181818182,0.570406969,"bcel","evo",2,
0.3353403785,0.4836112708,0.4063079777,0.2198165138,0.3279569892,0.3461082576,0.3181818182,0.570406969,"bcel","evo",2,
0.3350946178,0.4836112708,0.4063079777,0.2194495413,0.3279569892,0.3457131569,0.3181818182,0.570406969,"bcel","evo",2,
