LineCoverage,MutationCoverage,Tool,Project
0.549213366,0.342958958,evo,bcel
0.570406969,0.335586139,evo,bcel
0.490378364,0.286434013,evo,bcel
0.480171629,0.295158516,evo,bcel
0.500715122,0.306340624,evo,bcel
0.568196593,0.3751536,evo,bcel
0.509816669,0.30068813,evo,bcel
0.488688077,0.305603342,evo,bcel
0.564165908,0.357458835,evo,bcel
0.479976596,0.286434013,evo,bcel
0.830858086,0.125333333,evo,cli
0.691419142,0.473333333,evo,cli
0.731023102,0.496,evo,cli
0.770627063,0.573333333,evo,cli
0.830858086,0.573333333,evo,cli
0.807755776,0.578666667,evo,cli
0.778052805,0.546666667,evo,cli
0.72029703,0.546666667,evo,cli
0.830033003,0.656,evo,cli
0.724422442,0.529333333,evo,cli
0.891735745,0.720535714,evo,codec
0.857573474,0.682738095,evo,codec
0.880432052,0.604761905,evo,codec
0.874152223,0.68422619,evo,codec
0.892238131,0.72797619,evo,codec
0.864606883,0.707738095,evo,codec
0.874403416,0.643452381,evo,codec
0.879678473,0.711309524,evo,codec
0.892489324,0.764285714,evo,codec
0.884953529,0.716369048,evo,codec
0.286180631,0.168576105,evo,csv
0.422198041,0.279869067,evo,csv
0.341675734,0.237315876,evo,csv
0.281828074,0.157119476,evo,csv
0.402611534,0.317512275,evo,csv
0.373231774,0.337152209,evo,csv
0.340587595,0.235679214,evo,csv
0.356909684,0.21603928,evo,csv
0.300326442,0.157119476,evo,csv
0.329706202,0.279869067,evo,csv
0.426349497,0.265060241,evo,email
0.399817017,0.268502582,evo,email
0.361390668,0.208261618,evo,email
0.406221409,0.2616179,evo,email
0.417200366,0.278829604,evo,email
0.406221409,0.249569707,evo,email
0.332113449,0.168674699,evo,email
0.397987191,0.235800344,evo,email
0.361390668,0.228915663,evo,email
0.335773102,0.177280551,evo,email
0.573529412,0.423202614,evo,fileupload
0.673010381,0.519607843,evo,fileupload
0.706747405,0.460784314,evo,fileupload
0.730968858,0.570261438,evo,fileupload
0.700692042,0.532679739,evo,fileupload
0.721453287,0.52124183,evo,fileupload
0.641868512,0.413398693,evo,fileupload
0.729238754,0.547385621,evo,fileupload
0.702422145,0.473856209,evo,fileupload
0.634948097,0.444444444,evo,fileupload
0.611980537,0.428855292,evo,imaging
0.600933719,0.407343413,evo,imaging
0.6453564851,0.3839603788,evo,imaging
0.607311941,0.431360691,evo,imaging
0.608692793,0.397149028,evo,imaging
0.589032088,0.399049676,evo,imaging
0.342254077,0.188509719,evo,imaging
0.604550237,0.407257019,evo,imaging
0.634665965,0.452613391,evo,imaging
0.626841136,0.417710583,evo,imaging
0.379223865,0.271487667,evo,lang
0.439215945,0.30534702,evo,lang
0.484820486,0.339972422,evo,lang
0.429976241,0.291021909,evo,lang
0.454725449,0.321434043,evo,lang
0.444957761,0.301669986,evo,lang
0.455517423,0.334916501,evo,lang
0.440601901,0.318063429,evo,lang
0.502045935,0.373448751,evo,lang
0.430570222,0.327026199,evo,lang
0.88260497,0.720854922,evo,statistics
0.952870608,0.746761658,evo,statistics
0.952870608,0.715673575,evo,statistics
0.969151671,0.742875648,evo,statistics
0.968294773,0.71373057,evo,statistics
0.917737789,0.683290155,evo,statistics
0.962296487,0.744170984,evo,statistics
0.945158526,0.721502591,evo,statistics
0.879177378,0.72992228,evo,statistics
0.948586118,0.71761658,evo,statistics
0.68175853,0.575772682,evo,validator
0.67191601,0.589730808,evo,validator
0.534776903,0.413260219,evo,validator
0.620734908,0.507477567,evo,validator
0.606299213,0.50448654,evo,validator
0.663057743,0.56331007,evo,validator
0.640091864,0.564307079,evo,validator
0.619094488,0.518444666,evo,validator
0.660433071,0.552342971,evo,validator
0.687007874,0.57328016,evo,validator
