LineCoverage,MutationCoverage,Tool,Project
0.478676375,0.304866060457115,manual,bcel
0.478676375,0.304743180142541,manual,bcel
0.478676375,0.304866060457115,manual,bcel
0.478676375,0.304743180142541,manual,bcel
0.478676375,0.304866060457115,manual,bcel
0.478676375,0.304743180142541,manual,bcel
0.478676375,0.3040058982551,manual,bcel
0.478676375,0.304743180142541,manual,bcel
0.478676375,0.304743180142541,manual,bcel
0.478676375,0.304866060457115,manual,bcel
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.9669967,0.898666666666667,manual,cli
0.920874152,0.867261904761905,manual,codec
0.920120573,0.866964285714286,manual,codec
0.920120573,0.866666666666667,manual,codec
0.920874152,0.867559523809524,manual,codec
0.920874152,0.867559523809524,manual,codec
0.920874152,0.867559523809524,manual,codec
0.920874152,0.867559523809524,manual,codec
0.920874152,0.867261904761905,manual,codec
0.920874152,0.867559523809524,manual,codec
0.920874152,0.867559523809524,manual,codec
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.918,0.82670906200318,manual,csv
0.815187557,0.61617900172117,manual,e-mail
0.815187557,0.611015490533563,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.612736660929432,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.815187557,0.609294320137694,manual,e-mail
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.76384083,0.638888888888889,manual,fileupload
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757726819541376,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757726819541376,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757228315054835,manual,validator
0.778215223,0.757228315054835,manual,validator
0.652804947,0.483680981595092,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483844580777096,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483844580777096,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.652804947,0.483762781186094,manual,imaging
0.953141499,0.865635054389459,manual,lang
0.952943506,0.866247893366018,manual,lang
0.953141499,0.866247893366018,manual,lang
0.953141499,0.866324498238088,manual,lang
0.953009504,0.866171288493948,manual,lang
0.953075502,0.866247893366018,manual,lang
0.953075502,0.866247893366018,manual,lang
0.953009504,0.866171288493948,manual,lang
0.953075502,0.866171288493948,manual,lang
0.953075502,0.866324498238088,manual,lang
0.922879177,0.80699481865285,manual,statistics
0.922879177,0.895725388601036,manual,statistics
0.922879177,0.898316062176166,manual,statistics
0.922879177,0.898316062176166,manual,statistics
0.922879177,0.878238341968912,manual,statistics
0.922879177,0.898316062176166,manual,statistics
0.922879177,0.894430051813471,manual,statistics
0.922879177,0.896373056994819,manual,statistics
0.922879177,0.897668393782383,manual,statistics
0.922879177,0.832901554404145,manual,statistics
