LineCoverage,MutationCoverage,Tool,Project
0.379144455,0.1470877365,randoop,bcel
0.379144455,0.1475792578,randoop,bcel
0.379144455,0.1474563775,randoop,bcel
0.379144455,0.1469648562,randoop,bcel
0.379144455,0.1467190956,randoop,bcel
0.379144455,0.1468419759,randoop,bcel
0.379144455,0.1470877365,randoop,bcel
0.379144455,0.1470877365,randoop,bcel
0.379144455,0.1468419759,randoop,bcel
0.379144455,0.1469648562,randoop,bcel
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.467821782,0.2546666667,randoop,cli
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.854307963,0.6238095238,randoop,codec
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.69749728,0.4500818331,randoop,csv
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.71820677,0.4526678141,randoop,email
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.46366782,0.2532679739,randoop,fileupload
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.648950131,0.4546360917,randoop,validator
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.374079432,0.1625053996,randoop,imaging
0.540720697,0.3087176344,randoop,lang
0.540588701,0.3087176344,randoop,lang
0.540720697,0.3088708442,randoop,lang
0.540588701,0.3072621419,randoop,lang
0.540720697,0.3087176344,randoop,lang
0.540588701,0.3087176344,randoop,lang
0.540720697,0.3086410296,randoop,lang
0.540720697,0.3088708442,randoop,lang
0.540588701,0.3072621419,randoop,lang
0.540588701,0.3089474491,randoop,lang
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
0.934018852,0.7726683938,randoop,statistics
