LineCoverage,MutationCoverage,Tool,Project
0.379144455,0.146964856,randoop,bcel
0.366142244,0.094617842,randoop,bcel
0.456052529,0.193905136,randoop,bcel
0.378104278,0.129884493,randoop,bcel
0.318034066,0.140083559,randoop,bcel
0.456897673,0.157041042,randoop,bcel
0.454752308,0.147825018,randoop,bcel
0.308087375,0.112066847,randoop,bcel
0.405668964,0.175104448,randoop,bcel
0.367182421,0.121651511,randoop,bcel
0.467821782,0.254666667,randoop,cli
0.421617162,0.270666667,randoop,cli
0.565181518,0.368,randoop,cli
0.462046205,0.250666667,randoop,cli
0.514026403,0.296,randoop,cli
0.490924092,0.285333333,randoop,cli
0.603960396,0.365333333,randoop,cli
0.47029703,0.254666667,randoop,cli
0.605610561,0.338666667,randoop,cli
0.633663366,0.349333333,randoop,cli
0.854307963,0.623809524,randoop,codec
0.85807586,0.651785714,randoop,codec
0.862597337,0.630654762,randoop,codec
0.862597337,0.657142857,randoop,codec
0.850288872,0.677083333,randoop,codec
0.849786486,0.62797619,randoop,codec
0.851042452,0.622619048,randoop,codec
0.845013816,0.648214286,randoop,codec
0.850288872,0.633630952,randoop,codec
0.865611655,0.657142857,randoop,codec
0.69749728,0.450081833,randoop,csv
0.668117519,0.466448445,randoop,csv
0.695321001,0.497545008,randoop,csv
0.677910773,0.446808511,randoop,csv
0.709466812,0.474631751,randoop,csv
0.676822633,0.458265139,randoop,csv
0.708378672,0.471358429,randoop,csv
0.69640914,0.468085106,randoop,csv
0.66594124,0.412438625,randoop,csv
0.721436344,0.500818331,randoop,csv
0.71820677,0.452667814,randoop,email
0.722781336,0.445783133,randoop,email
0.712717292,0.450946644,randoop,email
0.73010064,0.456110155,randoop,email
0.729185727,0.475043029,randoop,email
0.725526075,0.459552496,randoop,email
0.720036597,0.445783133,randoop,email
0.689844465,0.444061962,randoop,email
0.73010064,0.466437177,randoop,email
0.689844465,0.438898451,randoop,email
0.46366782,0.253267974,randoop,fileupload
0.477508651,0.253267974,randoop,fileupload
0.476643599,0.251633987,randoop,fileupload
0.46366782,0.248366013,randoop,fileupload
0.462802768,0.238562092,randoop,fileupload
0.477508651,0.248366013,randoop,fileupload
0.46366782,0.248366013,randoop,fileupload
0.475778547,0.263071895,randoop,fileupload
0.465397924,0.254901961,randoop,fileupload
0.467128028,0.248366013,randoop,fileupload
0.374079432,0.162591793,randoop,imaging
0.341596528,0.136673866,randoop,imaging
0.331338769,0.1387473,randoop,imaging
0.315097317,0.130194384,randoop,imaging
0.307009469,0.13537797,randoop,imaging
0.331799053,0.142807775,randoop,imaging
0.327853761,0.130712743,randoop,imaging
0.324960547,0.12812095,randoop,imaging
0.369279327,0.160086393,randoop,imaging
0.317793267,0.137710583,randoop,imaging
0.540390707,0.309330473,randoop,lang
0.590417107,0.354527348,randoop,lang
0.559530095,0.327639038,randoop,lang
0.552864308,0.332005516,randoop,lang
0.492410243,0.279071549,randoop,lang
0.559134108,0.333844032,randoop,lang
0.592529039,0.362187835,randoop,lang
0.559266103,0.329707369,randoop,lang
0.606388596,0.400873296,randoop,lang
0.533856917,0.315458863,randoop,lang
0.934018852,0.772668394,randoop,statistics
0.919451585,0.741580311,randoop,statistics
0.938303342,0.793393782,randoop,statistics
0.737789203,0.495466321,randoop,statistics
0.908311911,0.795984456,randoop,statistics
0.863753213,0.659326425,randoop,statistics
0.946015424,0.81865285,randoop,statistics
0.903170523,0.726036269,randoop,statistics
0.949443016,0.78626943,randoop,statistics
0.950299914,0.818005181,randoop,statistics
0.4546360917,0.648950131,randoop,validator
0.4521435693,0.645013123,randoop,validator
0.4531405783,0.645013123,randoop,validator
0.4710867398,0.664370079,randoop,validator
0.4755732802,0.648622047,randoop,validator
0.4511465603,0.641076115,randoop,validator
0.4002991027,0.623687664,randoop,validator
0.4551345962,0.642716535,randoop,validator
0.427218345,0.6332021,randoop,validator
0.427218345,0.636811024,randoop,validator
