project,testSuite,quantTestCases,Tool
bcel,1,2400,randoop
bcel,2,3610,randoop
bcel,3,5232,randoop
bcel,4,5730,randoop
bcel,5,5472,randoop
bcel,6,5472,randoop
bcel,7,5772,randoop
bcel,8,5296,randoop
bcel,9,5476,randoop
bcel,10,5772,randoop
cli,1,308,randoop
cli,2,255,randoop
cli,3,280,randoop
cli,4,164,randoop
cli,5,199,randoop
cli,6,208,randoop
cli,7,367,randoop
cli,8,149,randoop
cli,9,299,randoop
cli,10,346,randoop
codec,1,3164,randoop
codec,2,3373,randoop
codec,3,3290,randoop
codec,4,3294,randoop
codec,5,2666,randoop
codec,6,3137,randoop
codec,7,3409,randoop
codec,8,3362,randoop
codec,9,3373,randoop
codec,10,2938,randoop
csv,1,2380,randoop
csv,2,2431,randoop
csv,3,2294,randoop
csv,4,2298,randoop
csv,5,2258,randoop
csv,6,2291,randoop
csv,7,2305,randoop
csv,8,2370,randoop
csv,9,1239,randoop
csv,10,2228,randoop
email,1,3693,randoop
email,2,3068,randoop
email,3,2619,randoop
email,4,3920,randoop
email,5,3328,randoop
email,6,3540,randoop
email,7,3020,randoop
email,8,2629,randoop
email,9,3629,randoop
email,10,2671,randoop
fileupload,1,3776,randoop
fileupload,2,3673,randoop
fileupload,3,3572,randoop
fileupload,4,3661,randoop
fileupload,5,3801,randoop
fileupload,6,3785,randoop
fileupload,7,3713,randoop
fileupload,8,3592,randoop
fileupload,9,3461,randoop
fileupload,10,3729,randoop
imaging,1,2621,randoop
imaging,2,2469,randoop
imaging,3,2527,randoop
imaging,4,1947,randoop
imaging,5,2206,randoop
imaging,6,2837,randoop
imaging,7,2323,randoop
imaging,8,2377,randoop
imaging,9,2564,randoop
imaging,10,2569,randoop
lang,1,2366,randoop
lang,2,2747,randoop
lang,3,2506,randoop
lang,4,2273,randoop
lang,5,1465,randoop
lang,6,2008,randoop
lang,7,2677,randoop
lang,8,2276,randoop
lang,9,2994,randoop
lang,10,1973,randoop
statistics,1,3262,randoop
statistics,2,1906,randoop
statistics,3,3155,randoop
statistics,4,569,randoop
statistics,5,2917,randoop
statistics,6,833,randoop
statistics,7,3197,randoop
statistics,8,1669,randoop
statistics,9,3020,randoop
statistics,10,2785,randoop
validator,1,2672,randoop
validator,2,2756,randoop
validator,3,2724,randoop
validator,4,2722,randoop
validator,5,2730,randoop
validator,6,2670,randoop
validator,7,2750,randoop
validator,8,2588,randoop
validator,9,2779,randoop
validator,10,2776,randoop
bcel,1,3764,evo
bcel,2,3420,evo
bcel,3,3337,evo
bcel,4,3378,evo
bcel,5,4014,evo
bcel,6,2993,evo
bcel,7,3250,evo
bcel,8,3250,evo
bcel,9,3186,evo
bcel,10,3764,evo
cli,1,485,evo
cli,2,349,evo
cli,3,410,evo
cli,4,464,evo
cli,5,491,evo
cli,6,485,evo
cli,7,446,evo
cli,8,466,evo
cli,9,492,evo
cli,10,463,evo
codec,1,1288,evo
codec,2,1190,evo
codec,3,1245,evo
codec,4,1271,evo
codec,5,1242,evo
codec,6,1220,evo
codec,7,1256,evo
codec,8,1233,evo
codec,9,1352,evo
codec,10,1248,evo
csv,1,64,evo
csv,2,125,evo
csv,3,126,evo
csv,4,63,evo
csv,5,129,evo
csv,6,127,evo
csv,7,119,evo
csv,8,122,evo
csv,9,78,evo
csv,10,71,evo
email,1,146,evo
email,2,150,evo
email,3,126,evo
email,4,141,evo
email,5,148,evo
email,6,146,evo
email,7,91,evo
email,8,148,evo
email,9,132,evo
email,10,116,evo
fileupload,1,207,evo
fileupload,2,323,evo
fileupload,3,333,evo
fileupload,4,390,evo
fileupload,5,341,evo
fileupload,6,381,evo
fileupload,7,309,evo
fileupload,8,376,evo
fileupload,9,350,evo
fileupload,10,313,evo
imaging,1,4077,evo
imaging,2,3709,evo
imaging,3,3792,evo
imaging,4,3851,evo
imaging,5,3824,evo
imaging,6,3850,evo
imaging,7,3689,evo
imaging,8,3890,evo
imaging,9,300,evo
imaging,10,4028,evo
lang,1,2642,evo
lang,2,2937,evo
lang,3,3238,evo
lang,4,2820,evo
lang,5,3220,evo
lang,6,3094,evo
lang,7,3189,evo
lang,8,3093,evo
lang,9,3602,evo
lang,10,3183,evo
statistics,1,697,evo
statistics,2,752,evo
statistics,3,761,evo
statistics,4,773,evo
statistics,5,782,evo
statistics,6,734,evo
statistics,7,744,evo
statistics,8,747,evo
statistics,9,748,evo
statistics,10,757,evo
validator,1,1114,evo
validator,2,1234,evo
validator,3,803,evo
validator,4,1082,evo
validator,5,1046,evo
validator,6,1125,evo
validator,7,1145,evo
validator,8,1022,evo
validator,9,1218,evo
validator,10,1139,evo
bcel,manual,118,manual
cli,manual,409,manual
codec,manual,901,manual
csv,manual,321,manual
email,manual,190,manual
fileupload,manual,82,manual
imaging,manual,91,manual
lang,manual,4118,manual
statistics,manual,386,manual
validator,manual,536,manual
