MutationCoverage,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.1470877365,0.2282921219,0.1688311688,0.0466055046,0.2043010753,0.1912287633,0.1435406699,0.379144455,bcel,randoop
0.1475792578,0.2282921219,0.1706864564,0.0469724771,0.2043010753,0.1908336626,0.1507177033,0.379144455,bcel,randoop
0.1474563775,0.2282921219,0.1688311688,0.0469724771,0.2043010753,0.1912287633,0.1483253589,0.379144455,bcel,randoop
0.1469648562,0.2282921219,0.1688311688,0.0462385321,0.2043010753,0.1908336626,0.1459330144,0.379144455,bcel,randoop
0.1467190956,0.2282921219,0.1688311688,0.0458715596,0.2043010753,0.1908336626,0.1435406699,0.379144455,bcel,randoop
0.1468419759,0.2282921219,0.1688311688,0.0462385321,0.2043010753,0.1908336626,0.1435406699,0.379144455,bcel,randoop
0.1470877365,0.2282921219,0.1688311688,0.0466055046,0.2043010753,0.1908336626,0.1459330144,0.379144455,bcel,randoop
0.1470877365,0.2282921219,0.1688311688,0.0466055046,0.2043010753,0.1908336626,0.1459330144,0.379144455,bcel,randoop
0.1468419759,0.2282921219,0.1688311688,0.0462385321,0.2043010753,0.1908336626,0.1435406699,0.379144455,bcel,randoop
0.1469648562,0.2282921219,0.1688311688,0.0466055046,0.2043010753,0.1908336626,0.1435406699,0.379144455,bcel,randoop
0.0935119194,0.1759631972,0.0649350649,0.0256880734,0.1129032258,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.0946178422,0.1759631972,0.0649350649,0.0286238532,0.1129032258,0.1185302252,0.0717703349,0.366142244,bcel,randoop
0.0942492013,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1185302252,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.0947407225,0.1759631972,0.0649350649,0.0286238532,0.1129032258,0.118925326,0.0717703349,0.366142244,bcel,randoop
0.094126321,0.1759631972,0.0630797774,0.0286238532,0.1021505376,0.1181351245,0.0717703349,0.366142244,bcel,randoop
0.1914475301,0.296147211,0.1447124304,0.1012844037,0.2150537634,0.2275780324,0.1746411483,0.455597452,bcel,randoop
0.1871467191,0.2909718229,0.1428571429,0.0987155963,0.1989247312,0.2240221256,0.1602870813,0.455597452,bcel,randoop
0.1930449742,0.2972972973,0.1484230056,0.1034862385,0.2150537634,0.2287633347,0.1746411483,0.455597452,bcel,randoop
0.190218727,0.2921219091,0.146567718,0.1009174312,0.2150537634,0.2263927301,0.1746411483,0.455597452,bcel,randoop
0.1894814451,0.2944220817,0.1447124304,0.0983486239,0.2096774194,0.2259976294,0.1746411483,0.455597452,bcel,randoop
0.1872695994,0.2926969523,0.1410018553,0.0979816514,0.1989247312,0.2240221256,0.1626794258,0.455597452,bcel,randoop
0.1903416073,0.2949971248,0.146567718,0.1001834862,0.2096774194,0.2263927301,0.1722488038,0.455597452,bcel,randoop
0.1888670435,0.2921219091,0.1484230056,0.0994495413,0.2096774194,0.2256025286,0.1626794258,0.455597452,bcel,randoop
0.1887441632,0.2926969523,0.1447124304,0.1005504587,0.1989247312,0.2252074279,0.1626794258,0.455597452,bcel,randoop
0.1869009585,0.2909718229,0.1391465677,0.0987155963,0.2043010753,0.2232319241,0.1626794258,0.455597452,bcel,randoop
0.1296387319,0.2570442783,0.0686456401,0.0565137615,0.0860215054,0.1430264718,0.0933014354,0.378104278,bcel,randoop
0.1295158516,0.2570442783,0.0686456401,0.056146789,0.0860215054,0.1430264718,0.0933014354,0.378104278,bcel,randoop
0.1298844925,0.2576193214,0.0686456401,0.0565137615,0.0860215054,0.1434215725,0.0933014354,0.378104278,bcel,randoop
0.1298844925,0.2576193214,0.0686456401,0.0565137615,0.0860215054,0.1434215725,0.0933014354,0.378104278,bcel,randoop
0.1296387319,0.2570442783,0.0686456401,0.0565137615,0.0860215054,0.1430264718,0.0933014354,0.378104278,bcel,randoop
0.1295158516,0.2570442783,0.0686456401,0.056146789,0.0860215054,0.1430264718,0.0933014354,0.378104278,bcel,randoop
0.1296387319,0.2570442783,0.0686456401,0.0565137615,0.0860215054,0.1430264718,0.0933014354,0.378104278,bcel,randoop
0.1298844925,0.2576193214,0.0686456401,0.0565137615,0.0860215054,0.1434215725,0.0933014354,0.378104278,bcel,randoop
0.1298844925,0.2576193214,0.0686456401,0.0565137615,0.0860215054,0.1434215725,0.0933014354,0.378104278,bcel,randoop
0.1298844925,0.2576193214,0.0686456401,0.0565137615,0.0860215054,0.1434215725,0.0933014354,0.378104278,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
